bioclimatic_zone,structure,category,physiography_limit,code,map_class,target,macrogroup_code,macrogroup,group_code,group
4. Arctic,herbaceous,peatland,minerotrophic,263,"Arctic Brown Moss-Sedge Peatland, Minerotrophic",alliance,M002ak,Arctic Permafrost Alkaline Fen,G0002ak,"Arctic Permafrost Peatland, Minerotrophic"
4. Arctic,shrub,peatland,minerotrophic,264,"Arctic Shrub-Sedge Peatland, Minerotrophic",alliance,M002ak,Arctic Permafrost Alkaline Fen,G0002ak,"Arctic Permafrost Peatland, Minerotrophic"
4. Arctic,dwarf shrub,tussock tundra,none,272,Arctic Tussock Dwarf Shrub Tundra,subgroup,M173,Arctic Dry-Moist Tundra,G1198,Arctic Tussock Tundra
4. Arctic,shrub,tussock tundra,none,274,Arctic Tussock Low Shrub Tundra,subgroup,M173,Arctic Dry-Moist Tundra,G1198,Arctic Tussock Tundra
4. Arctic,herbaceous,mesic vegetation,none,276,Arctic Herbaceous Non-Tussock Tundra,group,M173,Arctic Dry-Moist Tundra,G1199,Arctic Nontussock Tundra
4. Arctic,NULL,NULL,NULL,277,High Arctic Herbaceous (Nontussock) Tundra,omit,M173,Arctic Dry-Moist Tundra,G1200,High Arctic Graminoid - Forb Tundra
4. Arctic,herbaceous,dune,none,281,Arctic Herbaceous Inland Dune,alliance,M173,Arctic Dry-Moist Tundra,G863,Arctic Inland Dune
4. Arctic,shrub,dune,none,282,Arctic Willow Inland Dune,alliance,M173,Arctic Dry-Moist Tundra,G863,Arctic Inland Dune
4. Arctic,dwarf shrub,mesic vegetation,none,283,Arctic Dryas (-Willow) Dwarf Shrub,subgroup,M173,Arctic Dry-Moist Tundra,G896,Arctic Dwarf-shrub Tundra
4. Arctic,dwarf shrub,mesic vegetation,none,284,Arctic Ericaceous (-Dryas) Dwarf Shrub,subgroup,M173,Arctic Dry-Moist Tundra,G896,Arctic Dwarf-shrub Tundra
4. Arctic,shrub,mesic vegetation,none,291,Arctic Alder (-Willow) Shrub Mesic,subgroup,M173,Arctic Dry-Moist Tundra,G897,Arctic Low Shrub Tundra
4. Arctic,shrub,mesic vegetation,none,292,Arctic Birch (-Willow) Shrub Mesic,subgroup,M173,Arctic Dry-Moist Tundra,G897,Arctic Low Shrub Tundra
4. Arctic,shrub,mesic vegetation,none,293,Arctic Willow Low Shrub Mesic,subgroup,M173,Arctic Dry-Moist Tundra,G897,Arctic Low Shrub Tundra
4. Arctic,NULL,NULL,NULL,301,Arctic Coastal Rocky Shore,omit,M402,North American Arctic Coastal Shore,G611,Arctic Coastal Rocky Shore
4. Arctic,unvegetated,barren,coastal,302,Arctic Coastal & Estuarine Barren,alliance,M402,North American Arctic Coastal Shore,G864,Arctic Coastal Dune & Beach
4. Arctic,herbaceous,beach,coastal,303,Arctic Herbaceous Coastal Dune & Beach,group,M402,North American Arctic Coastal Shore,G864,Arctic Coastal Dune & Beach
4. Arctic,unvegetated,barren,coastal,304,Arctic Salt-intruded Tundra,alliance,M402,North American Arctic Coastal Shore,G864,Arctic Coastal Dune & Beach
4. Arctic,herbaceous,tidal marsh,coastal,305,Arctic Coastal Dwarf Willow Graminoid,alliance,M403,Arctic Tidal Salt Marsh,G535,Arctic & Subarctic Coastal Salt Marsh
4. Arctic,herbaceous,tidal marsh,coastal,306,Arctic Coastal Salt Marsh,subgroup,M403,Arctic Tidal Salt Marsh,G535,Arctic & Subarctic Coastal Salt Marsh
4. Arctic,shrub,mesic vegetation,riverine,311,Arctic Alder (-Willow) Active Floodplain,subgroup,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
4. Arctic,shrub,mesic vegetation,riverine,312,Arctic Willow Active Floodplain,subgroup,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
4. Arctic,dwarf shrub,mesic vegetation,riverine,313,Arctic Dryas (-Willow-Ericaceous) Active Floodplain,subgroup,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
4. Arctic,herbaceous,mesic vegetation,riverine,314,Arctic Herbaceous Active Floodplain,subgroup,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
4. Arctic,unvegetated,barren,riverine,315,Arctic Barren & Sparsely Vegetated Active Floodplain,subgroup,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
4. Arctic,various,wet vegetation,riverine,316,Arctic Stream Corridor,,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
4. Arctic,herbaceous,wet vegetation,riverine,321,Arctic Wet Meadow (Mineral/Riverine),group,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G617,Arctic Wet Meadow
4. Arctic,herbaceous,freshwater marsh,none,322,Arctic Freshwater Marsh,group,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G370,Arctic Freshwater Marsh
4. Arctic,unvegetated,barren,none,330,Arctic Barren & Sparsely Vegetated,group,M175,"Arctic Scree, Rock & Cliff Barrens",G869,"Arctic Open Scree, Rock & Cliff Barrens"
5. Anthropogenic,unvegetated,other,none,994,Agricultural,none,none,none,none,none
5. Anthropogenic,various,other,none,995,Disturbed Vegetation,none,none,none,none,none
5. Anthropogenic,unvegetated,other,none,996,Infrastructure,none,none,none,none,none
6. Abiotic,unvegetated,other,none,997,Permanent Snow / Ice,none,none,none,none,none
6. Abiotic,unvegetated,other,none,998,Persistent Water,none,none,none,none,none
6. Abiotic,unvegetated,other,burned,999,Recently Burned (≤ 5 Years),none,none,none,none,none
